LAMMPS data file via write_data, version 23 Jun 2022, timestep = 10100

15820 atoms
2 atom types

-0.014952990000000001 148.01995299 xlo xhi
-0.011962392 118.116962392 ylo yhi
0 11.96 zlo zhi

Masses

1 58.933
2 47.88

Atoms # atomic

1 1 0 0 0 0 0 0
2 2 1.495 1.495 1.495 0 0 0
3 1 2.99 0 0 0 0 0
4 2 4.485 1.495 1.495 0 0 0
5 1 5.98 0 0 0 0 0
6 2 7.475 1.495 1.495 0 0 0
7 1 8.97 0 0 0 0 0
8 2 10.465 1.495 1.495 0 0 0
9 1 11.96 0 0 0 0 0
10 2 13.455 1.495 1.495 0 0 0
11 1 14.95 0 0 0 0 0
12 2 16.445 1.495 1.495 0 0 0
13 1 17.94 0 0 0 0 0
14 2 19.435 1.495 1.495 0 0 0
15 1 20.93 0 0 0 0 0
16 2 22.425 1.495 1.495 0 0 0
17 1 23.92 0 0 0 0 0
18 2 25.415 1.495 1.495 0 0 0
19 1 26.91 0 0 0 0 0
20 2 28.405 1.495 1.495 0 0 0
21 1 29.9 0 0 0 0 0
22 2 31.395 1.495 1.495 0 0 0
23 1 32.89 0 0 0 0 0
24 2 34.385 1.495 1.495 0 0 0
25 1 35.88 0 0 0 0 0
26 2 37.375 1.495 1.495 0 0 0
27 1 38.87 0 0 0 0 0
28 2 40.365 1.495 1.495 0 0 0
29 1 41.86 0 0 0 0 0
30 2 43.355 1.495 1.495 0 0 0
31 1 44.85 0 0 0 0 0
32 2 46.345 1.495 1.495 0 0 0
33 1 47.84 0 0 0 0 0
34 2 49.335 1.495 1.495 0 0 0
35 1 50.83 0 0 0 0 0
36 2 52.325 1.495 1.495 0 0 0
37 1 53.82 0 0 0 0 0
38 2 55.315 1.495 1.495 0 0 0
39 1 56.81 0 0 0 0 0
40 2 58.305 1.495 1.495 0 0 0
41 1 59.8 0 0 0 0 0
42 2 61.295 1.495 1.495 0 0 0
43 1 62.79 0 0 0 0 0
44 2 64.285 1.495 1.495 0 0 0
45 1 65.78 0 0 0 0 0
46 2 67.275 1.495 1.495 0 0 0
47 1 68.77 0 0 0 0 0
48 2 70.265 1.495 1.495 0 0 0
49 1 71.76 0 0 0 0 0
50 2 73.255 1.495 1.495 0 0 0
51 1 74.75 0 0 0 0 0
52 2 76.245 1.495 1.495 0 0 0
