# Time-averaged data for fix stress_8
# TimeStep v_sigmayy_8
10200 6.62365
10300 6.38389
10400 6.59207
10500 8.03675
10600 7.83025
10700 7.79094
10800 7.39531
10900 6.88851
11000 7.02317
11100 6.29488
11200 6.49507
11300 6.12592
11400 5.96769
11500 6.21109
11600 5.62398
11700 5.90416
11800 5.58344
11900 5.60003
12000 7.21638
12100 6.20665
12200 7.08658
12300 7.7104
12400 8.58168
12500 9.53471
12600 8.48859
12700 8.52532
12800 7.80336
12900 5.91748
13000 6.97772
13100 6.82916
13200 6.79824
13300 6.13472
13400 5.84828
13500 6.9552
13600 7.45488
13700 8.83344
13800 7.81401
13900 8.00192
14000 9.57993
14100 9.00179
14200 8.50517
14300 7.66347
14400 7.79059
14500 8.21347
14600 8.44392
14700 8.58076
14800 8.46563
14900 7.89089
15000 7.49883
15100 7.50696
15200 8.36206
15300 8.03736
15400 8.01401
15500 8.10518
15600 8.33841
15700 8.56595
15800 7.81383
15900 7.41289
16000 7.65442
16100 7.16125
16200 8.00202
16300 7.37672
16400 7.98601
16500 6.81336
16600 7.65308
16700 7.20661
16800 7.213
16900 6.95974
17000 7.09501
17100 7.62231
17200 7.3601
17300 7.99713
17400 8.17557
17500 8.11061
17600 8.36931
17700 8.46109
17800 8.43393
17900 8.06845
18000 8.49193
18100 7.77705
18200 7.61683
18300 7.80062
18400 8.21317
18500 7.9626
18600 8.01051
18700 8.08854
18800 8.66336
18900 9.40526
19000 9.25383
19100 8.9312
19200 9.8863
19300 9.61741
19400 8.57351
19500 9.0884
19600 8.89693
19700 8.38666
19800 8.35265
19900 8.55339
20000 8.25646
20100 7.8262
20200 8.31011
20300 8.56093
20400 7.81186
20500 8.64747
20600 9.05227
20700 8.88622
20800 7.9708
20900 8.56799
21000 8.95318
21100 9.83537
21200 9.59667
21300 9.27827
21400 9.21144
21500 9.36967
21600 9.44663
21700 9.58286
21800 9.11153
21900 8.82901
22000 9.41773
22100 9.68203
22200 8.70288
22300 8.90099
22400 9.42772
22500 8.90835
22600 9.48169
22700 9.02799
22800 8.76196
22900 9.26541
23000 9.91647
23100 10.6081
23200 10.898
23300 9.60316
23400 9.63989
23500 9.73454
23600 10.0965
23700 10.0142
23800 10.2251
23900 9.96467
24000 9.83047
24100 9.52217
24200 9.64277
24300 9.02688
24400 9.48188
24500 9.51103
24600 9.19764
24700 10.1639
24800 9.37706
24900 9.73849
25000 10.1082
25100 10.4844
25200 9.67565
25300 10.8729
25400 10.538
25500 10.0322
25600 10.5648
25700 10.6835
25800 10.1324
25900 11.6732
26000 11.2933
26100 10.0299
26200 10.2362
26300 9.69411
26400 9.59902
26500 10.2484
26600 10.4452
26700 10.1853
26800 10.6685
26900 9.88044
27000 10.187
27100 10.3495
27200 10.3642
27300 11.0442
27400 10.9889
27500 10.9772
27600 10.7126
