# Time-averaged data for fix stress_10
# TimeStep v_sigmayy_10
10200 5.96526
10300 5.16368
10400 4.95006
10500 5.6349
10600 5.76396
10700 5.93802
10800 6.1052
10900 5.96592
11000 4.91175
11100 4.25365
11200 4.07141
11300 5.00284
11400 4.72141
11500 4.47208
11600 4.39991
11700 4.79224
11800 3.91242
11900 4.90046
12000 5.16913
12100 5.49764
12200 5.16665
12300 5.06042
12400 5.42412
12500 5.77665
12600 5.68065
12700 5.68304
12800 6.03569
12900 5.97676
13000 5.96235
13100 5.65475
13200 5.12765
13300 5.8711
13400 5.51786
13500 6.376
13600 6.67804
13700 5.53809
13800 6.56016
13900 6.79081
14000 7.04949
14100 7.05074
14200 5.93975
14300 6.38932
14400 6.26019
14500 6.05318
14600 6.1935
14700 5.8452
14800 5.78988
14900 5.74531
15000 5.63758
15100 6.20004
15200 6.71247
15300 7.2932
15400 6.68687
15500 6.50919
15600 7.00303
15700 6.87334
15800 7.30308
15900 7.33409
16000 7.16593
16100 7.54487
16200 7.65914
16300 7.57209
16400 7.72292
16500 7.78868
16600 7.84456
16700 7.45061
16800 7.07466
16900 6.63177
17000 6.15062
17100 6.01726
17200 5.93943
17300 5.6806
17400 6.05591
17500 6.55121
17600 6.85577
17700 6.59065
17800 6.42097
17900 6.06666
18000 5.52158
18100 6.38531
18200 6.96969
18300 6.33095
18400 5.63303
18500 5.6719
18600 6.05039
18700 6.46681
18800 6.40628
18900 6.53988
19000 7.00303
19100 6.89401
19200 7.28869
19300 7.30055
19400 6.92842
19500 6.26184
19600 6.13851
19700 7.35463
19800 6.59059
19900 6.5925
20000 5.59821
20100 5.69694
20200 5.91926
20300 6.55532
20400 6.79558
20500 6.19937
20600 6.05002
20700 6.19735
20800 6.2012
20900 6.5268
21000 6.65742
21100 6.80059
21200 7.69021
21300 7.66972
21400 7.26749
21500 7.66011
21600 7.0287
21700 7.18154
21800 7.24156
21900 7.12245
22000 6.64055
22100 6.71233
22200 6.56433
22300 6.34527
22400 6.31032
22500 6.11212
22600 6.82508
22700 7.50804
22800 7.58686
22900 6.45685
23000 6.47373
23100 7.36646
23200 7.70768
23300 7.82039
23400 7.58597
23500 7.20377
23600 7.62835
23700 8.26427
23800 7.94275
23900 7.4303
24000 7.20501
24100 7.53276
24200 6.62157
24300 6.51927
24400 7.01352
24500 7.84841
24600 7.41395
24700 7.65946
24800 7.16015
24900 7.07407
25000 6.63553
25100 7.49035
25200 7.89289
25300 7.68931
25400 7.79303
25500 8.32202
25600 7.56623
25700 7.99542
25800 7.80906
25900 8.20104
26000 7.93996
26100 8.16756
26200 7.43996
26300 7.78814
26400 7.81231
26500 8.4113
26600 7.43324
26700 7.17847
26800 7.76172
26900 8.12868
27000 8.1918
27100 8.17457
27200 8.88757
27300 8.12446
27400 8.62068
27500 9.32462
27600 8.84305
27700 8.67048
27800 8.40276
27900 7.58784
28000 8.01919
28100 8.14778
28200 8.078
28300 8.1507
28400 8.69705
28500 8.37068
28600 8.69917
28700 8.51704
28800 8.15045
28900 8.04772
29000 7.93107
29100 8.66389
29200 8.71712
29300 9.10388
29400 8.89055
29500 8.33628
29600 8.57603
29700 8.46039
29800 8.57413
29900 8.74048
30000 8.52266
30100 8.58275
30200 8.9709
30300 8.34349
30400 8.20174
30500 8.8396
30600 9.09739
30700 8.98534
30800 8.50701
30900 8.67098
31000 8.771
31100 9.78379
31200 9.48281
31300 9.61052
31400 9.9005
31500 9.13374
31600 9.23835
31700 9.59061
31800 8.75648
31900 8.92125
32000 8.73843
32100 8.56047
32200 8.56575
32300 8.89916
32400 9.14416
32500 8.92636
32600 9.09316
32700 8.86894
32800 8.90419
32900 9.11441
33000 9.43197
33100 8.98497
33200 9.34396
33300 9.02963
33400 8.9295
33500 8.94984
33600 10.0863
33700 9.78889
33800 10.0478
33900 10.3097
34000 9.7592
34100 8.94445
34200 9.08749
34300 9.45343
34400 8.6024
34500 9.60485
34600 9.73697
34700 8.71238
34800 9.18597
34900 8.9697
35000 9.03733
35100 8.13239
35200 7.46107
35300 7.38679
35400 7.7104
35500 7.71499
35600 7.59881
35700 8.41168
35800 8.44684
35900 9.92588
36000 9.65709
36100 10.3807
36200 10.6701
36300 10.7274
36400 10.0276
36500 10.5179
36600 10.292
36700 11.2228
36800 10.3748
36900 10.8596
37000 10.3426
37100 9.30224
37200 9.58424
37300 9.29883
37400 10.0256
37500 9.66614
37600 9.18581
37700 9.07488
37800 9.10062
37900 8.48073
38000 9.02599
38100 9.35175
38200 8.91177
38300 9.16491
38400 9.03832
38500 9.13865
38600 8.91496
38700 9.70661
38800 9.26828
38900 9.09732
39000 9.40833
39100 10.0889
39200 10.1782
39300 10.1924
39400 10.343
39500 10.4214
39600 9.57653
39700 10.3409
39800 10.9043
39900 10.4291
40000 10.5509
40100 9.98354
40200 10.0099
40300 9.99851
40400 10.8018
40500 9.96266
40600 9.56035
40700 9.34249
40800 9.87331
40900 9.79208
41000 10.908
41100 10.5771
41200 10.1072
41300 10.3849
41400 10.8616
41500 10.7956
41600 10.7649
41700 10.0853
41800 10.7601
41900 11.2547
42000 11.2121
42100 11.4829
42200 11.074
42300 11.5918
42400 10.9831
42500 11.8572
42600 12.1505
42700 12.1251
42800 11.5359
42900 11.8669
43000 11.5564
43100 10.8707
43200 11.2853
43300 11.5021
43400 10.709
43500 10.2613
43600 11.0876
43700 10.1234
43800 10.7662
43900 11.5291
44000 10.5402
44100 10.6173
44200 10.8117
44300 10.7968
44400 11.545
44500 11.5712
44600 11.6948
44700 11.5709
44800 11.4534
44900 11.7639
45000 11.9725
45100 11.6927
45200 12.3954
45300 12.1679
45400 11.1982
45500 11.9907
45600 12.1725
45700 11.4268
45800 11.2839
45900 11.1793
46000 11.4008
46100 11.5623
46200 11.7321
46300 12.2756
46400 11.2364
46500 11.5905
46600 10.898
46700 10.8948
46800 11.4939
46900 11.9002
47000 11.9282
47100 12.3722
