# Time-averaged data for fix stress_2
# TimeStep v_sigmayy_2
10200 4.33823
10300 5.09916
10400 5.76945
10500 5.61814
10600 6.78268
10700 5.75673
10800 5.31668
10900 4.82528
11000 4.67298
11100 4.40998
11200 4.78406
11300 4.62035
11400 3.3939
11500 2.73481
11600 1.90256
11700 1.82984
11800 1.97488
11900 2.27462
12000 2.49467
12100 2.0776
12200 2.42372
12300 2.88863
12400 2.82114
12500 2.74068
12600 2.90835
12700 3.614
12800 4.57156
12900 4.72447
13000 5.2174
13100 5.28762
13200 4.17772
13300 5.0618
13400 6.15153
13500 5.18973
13600 6.83648
13700 6.829
13800 6.63751
13900 6.56943
14000 6.21451
14100 6.7824
14200 7.56277
14300 7.28389
14400 8.08709
14500 7.72575
14600 7.00011
14700 7.47079
14800 6.20572
14900 6.12015
15000 5.96768
15100 5.60293
15200 5.64273
15300 6.57101
15400 6.83093
15500 6.13525
15600 5.81826
15700 6.24096
15800 5.97134
15900 5.41082
16000 5.65864
16100 5.54444
16200 5.68343
16300 5.91389
16400 5.32186
16500 5.1591
16600 5.50217
16700 5.60806
16800 4.74275
16900 5.06358
17000 5.32369
17100 5.20753
17200 5.20859
17300 5.43315
17400 5.65793
17500 5.94291
17600 5.49244
17700 4.56908
17800 4.38409
17900 4.6118
18000 4.56268
18100 5.37786
18200 4.96164
18300 4.18385
18400 4.76669
18500 5.19725
18600 5.39547
18700 4.84137
18800 4.55336
18900 5.55737
19000 5.80494
19100 5.68782
19200 4.58683
19300 4.78205
19400 5.73225
19500 6.13071
19600 5.48631
19700 5.82637
19800 5.10354
19900 5.59833
20000 6.16221
20100 5.68866
20200 6.14672
20300 6.44119
20400 6.58428
20500 5.46386
20600 6.1369
20700 5.9177
20800 5.20545
20900 5.9627
21000 6.55781
21100 6.08995
21200 6.39055
21300 6.96911
21400 6.74425
21500 7.07292
21600 7.61725
21700 7.10718
21800 6.864
21900 6.39878
22000 7.17972
22100 6.60647
22200 7.28578
22300 7.88287
22400 8.62587
22500 8.27903
22600 7.57612
22700 7.45512
22800 7.58853
22900 7.61767
23000 7.98622
23100 8.80415
23200 8.56589
23300 9.47931
23400 8.90366
23500 8.56441
23600 9.15694
23700 8.8129
23800 7.59538
23900 8.80542
24000 8.33889
24100 7.86743
24200 8.34543
24300 8.45325
24400 9.02067
24500 9.05666
24600 8.61654
24700 8.50643
24800 8.75024
24900 8.86979
25000 8.58016
25100 9.18384
25200 9.14773
25300 9.49417
25400 9.47498
25500 8.62402
25600 8.99222
25700 8.86177
25800 9.11168
25900 9.14476
26000 9.17859
26100 9.56303
26200 9.87191
26300 10.3767
26400 10.4117
26500 9.81806
26600 8.21683
26700 9.3515
26800 9.91158
26900 10.5868
27000 9.44886
27100 9.73037
27200 10.3599
27300 10.9946
27400 10.2506
27500 10.5757
27600 10.1362
27700 10.3069
27800 10.2751
27900 10.1785
28000 9.90428
28100 10.1291
28200 10.6904
28300 10.4482
28400 10.6926
28500 10.6788
28600 10.0644
28700 10.8501
28800 10.9376
28900 10.6599
29000 11.1382
29100 10.7359
29200 11.0355
29300 10.7524
29400 11.3304
29500 11.2698
29600 11.565
29700 10.5048
29800 11.0126
29900 10.7713
30000 10.9864
30100 11.1726
30200 12.8191
30300 11.6412
30400 12.0563
30500 12.0788
30600 11.2688
30700 11.8527
30800 12.574
30900 12.6347
31000 12.0788
31100 11.2957
31200 11.7414
31300 11.3046
31400 11.0366
31500 11.8555
31600 11.9276
31700 11.5914
31800 11.9105
31900 11.8528
32000 10.5839
32100 10.9574
32200 11.5346
32300 11.1195
32400 10.3701
32500 10.5556
32600 11.1099
32700 10.9409
32800 11.0169
32900 11.2943
33000 11.2539
33100 11.8151
33200 11.314
33300 11.9244
33400 11.5402
33500 11.6248
33600 12.3545
33700 12.8972
33800 13.1525
33900 13.0978
34000 12.8963
34100 13.7139
34200 13.4771
34300 13.6713
34400 13.0327
34500 13.0689
34600 13.1654
34700 14.0252
34800 13.4601
34900 12.4325
35000 12.5748
35100 12.3435
35200 13.3766
35300 12.9066
35400 12.4418
35500 12.6169
35600 11.7948
35700 12.3485
35800 12.425
35900 12.0883
36000 12.4274
36100 12.5972
36200 12.4821
36300 12.7543
36400 12.7214
36500 12.2827
36600 12.7355
36700 13.2001
36800 13.2025
36900 12.534
37000 12.6189
37100 13.0396
37200 12.4082
37300 13.1947
37400 12.7421
37500 13.2609
37600 14.0939
37700 14.494
37800 14.7545
37900 15.3196
38000 15.33
38100 15.3122
38200 15.9756
38300 15.5518
38400 15.5842
38500 15.8503
38600 17.2708
38700 16.1875
38800 15.7502
38900 15.6974
39000 14.7597
39100 14.7005
39200 14.7707
39300 14.9371
39400 15.782
39500 14.9369
39600 13.6809
39700 14.8108
39800 14.9229
39900 14.3267
40000 14.4266
40100 14.8305
40200 14.2606
40300 14.4196
40400 13.7757
40500 14.4341
40600 14.9813
40700 14.9703
40800 14.3432
40900 14.2249
41000 14.1602
41100 13.843
41200 13.8215
41300 14.7314
41400 14.1743
41500 14.0332
41600 14.4132
41700 13.442
41800 13.1457
41900 13.7129
42000 13.9251
42100 14.5175
42200 14.0527
42300 14.6877
42400 13.7378
42500 13.4863
42600 14.7095
42700 13.6695
42800 14.6813
42900 13.8395
43000 13.0714
43100 11.7261
43200 12.239
43300 12.0983
43400 12.1577
43500 13.163
43600 13.5086
43700 13.7024
43800 13.4018
43900 12.5294
44000 13.3791
44100 12.6412
44200 12.7928
44300 13.4364
44400 12.7922
44500 12.9486
44600 12.4247
44700 13.461
44800 13.8089
44900 14.0311
45000 13.9541
45100 14.279
45200 13.4175
45300 12.3258
45400 13.4054
45500 12.9881
45600 12.1099
45700 13.0039
45800 12.3681
45900 12.0356
46000 12.398
46100 12.96
46200 13.2077
46300 13.8625
46400 13.7256
46500 13.4952
46600 13.1663
46700 13.5605
46800 13.8572
46900 14.2462
47000 13.5281
47100 12.9714
47200 13.6317
47300 13.3537
47400 13.0965
47500 13.0981
47600 11.6608
47700 12.1138
47800 12.8633
47900 13.5723
48000 12.4352
48100 13.3999
48200 14.1416
48300 13.5255
48400 13.41
48500 13.6943
48600 12.7488
48700 12.5861
48800 12.7917
48900 12.3036
49000 13.2092
49100 13.1706
49200 13.0199
49300 13.1204
49400 13.5145
49500 12.1256
49600 11.103
49700 12.1381
49800 11.5247
49900 11.9986
50000 12.1309
50100 12.0906
50200 10.3483
50300 11.1022
50400 12.1617
50500 11.5431
50600 10.9922
50700 10.9766
50800 11.8395
50900 12.0548
51000 10.3463
51100 10.7997
51200 12.158
51300 11.6961
51400 12.1799
51500 11.4669
51600 11.254
51700 11.4678
51800 11.551
51900 11.7064
52000 11.2324
52100 11.9334
52200 12.3209
52300 12.063
52400 11.8612
52500 12.0826
52600 12.8862
52700 12.6976
52800 12.707
52900 12.3398
53000 13.0684
53100 12.727
53200 12.1676
53300 12.6147
53400 11.6348
53500 11.9919
53600 11.8009
53700 12.2425
53800 12.0565
53900 11.7294
54000 11.2906
54100 11.1671
54200 10.6485
54300 11.4444
54400 11.4407
54500 10.8039
54600 10.9102
54700 11.4448
54800 10.7828
54900 11.202
55000 11.6793
55100 11.3816
55200 10.6318
55300 11.8996
55400 11.4042
55500 12.1157
55600 11.0036
55700 11.5346
55800 11.6094
55900 10.9298
56000 9.53955
56100 9.42136
56200 10.9083
56300 9.8022
56400 9.02396
56500 8.73558
56600 8.44118
56700 9.18557
56800 9.26055
56900 8.87595
57000 9.30257
57100 9.03748
57200 9.70379
57300 10.0961
57400 8.9123
57500 9.55787
57600 9.65929
57700 9.65344
57800 9.387
57900 9.74389
58000 9.5271
58100 9.86465
58200 9.77276
58300 9.23793
58400 8.94168
58500 10.3822
58600 8.74504
58700 9.09467
58800 9.62914
58900 9.08358
59000 9.55401
59100 8.99567
59200 9.38396
59300 8.5454
59400 8.57274
59500 9.33996
59600 9.7023
59700 8.89206
59800 7.51356
59900 8.39003
60000 8.43942
60100 7.73968
60200 7.85549
60300 8.90971
60400 7.20492
60500 7.72798
60600 7.13106
60700 6.83113
60800 7.84402
60900 7.60321
61000 7.58892
61100 7.81916
61200 7.07173
61300 7.6977
61400 8.23013
61500 7.01558
61600 6.53314
61700 4.97044
61800 5.61981
61900 6.31378
62000 6.18947
62100 6.11566
62200 5.75719
62300 6.44926
62400 6.67565
62500 5.98893
62600 6.25679
62700 6.44346
62800 7.06924
62900 5.9117
63000 5.9129
63100 6.09163
63200 5.60727
63300 5.80861
63400 6.08985
63500 6.1777
63600 5.95758
63700 5.57295
63800 6.06477
63900 5.92906
64000 5.68613
64100 4.60051
64200 5.72128
64300 5.94099
64400 5.17715
64500 4.15025
64600 4.38648
64700 4.08115
64800 3.2947
64900 2.04101
65000 3.00385
65100 4.0092
65200 3.3402
65300 3.38275
65400 2.41136
65500 2.6449
65600 2.50352
65700 1.83256
65800 2.86193
65900 2.31842
66000 1.23862
66100 1.07412
66200 0.643879
66300 0.942874
66400 -0.116223
66500 1.16879
66600 0.189738
66700 0.0485574
66800 0.502576
66900 0.510507
67000 1.00606
67100 -0.289725
67200 0.0841415
67300 0.585459
67400 1.24552
67500 -0.161163
67600 -0.830346
67700 0.0765543
67800 -0.320427
67900 -0.101126
68000 0.873116
68100 0.897672
68200 0.297965
68300 0.592
68400 -0.296962
68500 -0.394762
68600 -1.70354
68700 -1.1424
68800 -0.139441
68900 0.565877
69000 -0.250992
69100 0.263286
69200 -0.198023
69300 -0.753864
69400 0.56914
69500 0.838021
69600 0.0669143
69700 -0.370731
69800 -0.391163
69900 0.289684
70000 0.799769
70100 -0.0767532
70200 -1.06376
70300 0.210635
70400 -0.266508
70500 -0.813639
