# Time-averaged data for fix stress_9
# TimeStep v_sigmayy_9
10200 7.3115
10300 8.26465
10400 8.71422
10500 7.67676
10600 8.62653
10700 8.64949
10800 8.26452
10900 8.51166
11000 7.48089
11100 7.27735
11200 6.99945
11300 6.50862
11400 7.41514
11500 6.65339
11600 6.59381
11700 6.30305
11800 6.42325
11900 7.4499
12000 6.5484
12100 7.43685
12200 8.34272
12300 7.91327
12400 8.80717
12500 10.1152
12600 9.17634
12700 9.38233
12800 8.74385
12900 8.97058
13000 9.4454
13100 8.96597
13200 8.27169
13300 8.87986
13400 8.80515
13500 9.3565
13600 9.7224
13700 9.17628
13800 9.03399
13900 8.77356
14000 9.13589
14100 9.57034
14200 9.52375
14300 8.54118
14400 8.70482
14500 8.77057
14600 9.31284
14700 9.15771
14800 7.99138
14900 7.72244
15000 8.88386
15100 8.63553
15200 9.01663
15300 9.28061
15400 9.73562
15500 9.90433
15600 9.95583
15700 9.755
15800 11.5883
15900 10.4126
16000 10.1353
16100 10.6087
16200 9.12034
16300 8.90832
16400 7.79064
16500 8.25399
16600 7.4778
16700 7.86467
16800 7.33065
16900 7.76684
17000 7.23533
17100 7.6915
17200 8.08329
17300 8.48352
17400 8.52033
17500 9.30494
17600 8.50611
17700 8.61703
17800 7.93469
17900 8.45689
18000 8.37636
18100 8.42553
18200 8.29686
18300 8.73245
18400 8.2537
18500 8.51102
18600 8.27211
18700 8.27916
18800 8.78757
18900 9.50384
19000 9.1254
19100 9.20355
19200 9.61465
19300 10.1419
19400 10.2296
19500 9.74228
19600 9.28301
19700 8.81519
19800 8.37976
19900 8.32774
20000 8.43713
20100 8.58653
20200 8.29669
20300 8.05166
20400 8.65453
20500 8.75722
20600 9.34199
20700 8.83934
20800 8.55478
20900 8.85776
21000 8.99881
21100 9.79553
21200 9.86426
21300 10.2924
21400 10.3207
21500 9.68497
21600 9.78533
21700 9.35057
21800 9.14934
21900 10.0426
22000 9.66101
22100 9.43901
22200 9.36896
22300 9.19963
22400 8.49404
22500 9.15072
22600 9.40602
22700 9.51294
22800 9.14911
22900 9.0351
23000 9.86668
23100 10.6494
23200 10.4792
23300 10.4619
23400 10.0937
23500 10.2269
23600 10.2297
23700 10.4779
23800 10.2957
23900 10.6585
24000 9.79092
24100 9.20747
24200 9.38753
24300 10.1265
24400 10.1888
24500 10.3396
24600 10.2237
24700 9.49171
24800 10.089
24900 9.89152
25000 9.83914
25100 10.163
25200 10.4819
25300 10.809
25400 10.7323
25500 10.7288
25600 10.7665
25700 11.2998
25800 11.2692
25900 11.1915
26000 11.2921
26100 11.2587
26200 10.4879
26300 9.8627
26400 10.1651
26500 10.0384
26600 10.7774
26700 10.6178
26800 9.9733
26900 10.0726
27000 10.8254
27100 11.5951
27200 11.096
27300 11.3548
