# Time-averaged data for fix stress_1
# TimeStep v_sigmayy_1
10200 0.584555
10300 1.08791
10400 1.27829
10500 1.12282
10600 0.642088
10700 -0.053142
10800 0.328416
10900 1.05309
11000 0.973105
11100 -0.0375578
11200 0.339823
11300 0.411455
11400 0.632817
11500 -0.300709
11600 -0.953265
11700 0.173437
11800 0.460695
11900 -0.328765
12000 -0.585952
12100 -0.228666
12200 0.00970252
12300 -0.45159
12400 -0.443784
12500 0.199575
12600 0.186884
12700 -0.219764
12800 0.721316
12900 0.450374
13000 1.72688
13100 0.525707
13200 0.350684
13300 1.44663
13400 0.923717
13500 0.543022
13600 1.84065
13700 1.40045
13800 1.29455
13900 1.11686
14000 1.11594
14100 1.89435
14200 0.869073
14300 2.18079
14400 0.793963
14500 1.31875
14600 1.86073
14700 0.801074
14800 0.944714
14900 1.77072
15000 0.920632
15100 0.641668
15200 1.02528
15300 0.443445
15400 1.30238
15500 1.32603
15600 0.359066
15700 0.445877
15800 0.734282
15900 1.05056
16000 0.735503
16100 0.498664
16200 1.16049
16300 1.41352
16400 0.267128
16500 0.81663
16600 1.32541
16700 0.935972
16800 1.22492
16900 1.15107
17000 0.312537
17100 1.56641
17200 0.617469
17300 1.85855
17400 0.543973
17500 0.815937
17600 1.57497
17700 0.152092
17800 1.0355
17900 0.577931
18000 1.04025
18100 0.800823
18200 0.940455
18300 0.815711
18400 0.732518
18500 0.563933
18600 0.0756459
18700 0.948273
18800 0.655423
18900 0.536395
19000 0.943202
19100 0.575781
19200 -0.179681
19300 1.24039
19400 0.688515
19500 0.286182
19600 1.17505
19700 1.32097
19800 1.28851
19900 1.42232
20000 0.008177
20100 0.17095
20200 2.05016
20300 0.800851
20400 2.19391
20500 0.0141156
20600 1.77555
20700 1.19149
20800 0.329997
20900 1.35868
21000 1.42578
21100 1.88476
21200 0.7445
21300 1.29744
21400 1.72514
21500 0.756283
21600 0.875839
21700 1.95869
21800 1.15424
21900 1.56606
22000 2.29853
22100 1.23335
22200 0.447117
22300 2.23643
22400 1.00966
22500 1.955
22600 1.54252
22700 1.52891
22800 0.965147
22900 1.81455
23000 1.76635
23100 2.23146
23200 1.95944
23300 1.33121
23400 1.94785
23500 1.93193
23600 2.05634
23700 1.63362
23800 1.8381
23900 2.1611
24000 1.82778
24100 3.11581
24200 1.66456
24300 1.87457
24400 2.65455
24500 1.91139
24600 2.06844
24700 0.832988
24800 2.71262
24900 1.85915
25000 1.96428
25100 2.59409
25200 1.08637
25300 2.39223
25400 1.92051
25500 1.93993
25600 2.39177
25700 2.10309
25800 1.81794
25900 1.99825
26000 2.35111
26100 2.60996
26200 2.81036
26300 2.11249
26400 1.58973
26500 2.8569
26600 2.56899
26700 2.57975
26800 1.47803
26900 2.32918
27000 2.6016
27100 2.15189
27200 1.8634
27300 1.84512
27400 3.03084
27500 2.20467
27600 2.90222
27700 2.49794
27800 1.46859
27900 3.32221
28000 2.16656
28100 2.10966
28200 2.8571
28300 2.52228
28400 2.59295
28500 2.82667
28600 1.29569
28700 3.21037
28800 2.09271
28900 2.69869
29000 1.72064
29100 2.68936
29200 2.60685
29300 2.72073
29400 2.29077
29500 3.53426
29600 2.88414
29700 2.45828
29800 3.22846
29900 2.79543
30000 2.87206
30100 3.13446
30200 1.63343
30300 4.20473
30400 2.44273
30500 2.36054
30600 3.19844
30700 2.8156
30800 2.70479
30900 3.1613
31000 3.32397
31100 2.15859
31200 3.07248
31300 2.59411
31400 2.75937
31500 3.43471
31600 3.35711
31700 2.30471
31800 2.46379
31900 3.2518
32000 3.13797
32100 2.52312
32200 2.8273
32300 2.47693
32400 3.14819
32500 2.85873
32600 2.08589
32700 2.30249
32800 2.56485
32900 4.03019
33000 3.02113
33100 2.40384
33200 3.64871
33300 2.73229
33400 2.99769
33500 3.31755
33600 3.74943
33700 2.98982
33800 4.22587
33900 3.48811
34000 3.38641
34100 2.95081
34200 3.118
34300 3.44984
34400 3.3119
34500 2.98071
34600 2.79593
34700 2.01138
34800 2.57927
34900 3.43834
35000 2.00921
35100 2.88471
35200 2.24751
35300 2.50826
35400 2.77236
35500 3.0896
35600 1.97737
35700 2.47045
35800 3.42317
35900 2.35187
36000 2.69831
36100 2.34425
36200 3.8362
36300 2.89261
36400 3.16928
36500 2.07413
36600 4.43898
36700 2.40373
36800 2.96416
36900 2.97553
37000 3.59176
37100 2.72829
37200 2.50749
37300 2.39772
37400 4.31377
37500 2.81896
37600 3.58381
37700 3.24751
37800 2.61512
37900 3.86297
38000 3.77413
38100 2.98112
38200 3.80246
38300 3.87981
38400 3.5258
38500 3.28621
38600 3.41224
38700 4.12199
38800 3.08831
38900 3.07059
39000 2.76836
39100 2.58233
39200 3.52653
39300 2.72468
39400 3.57118
39500 2.83743
39600 2.4911
39700 3.23185
39800 4.01
39900 2.85711
40000 1.67997
40100 3.43443
40200 3.65672
40300 2.00024
40400 3.30833
40500 3.33856
40600 3.35179
40700 2.65603
40800 3.39493
40900 2.52799
41000 3.40045
41100 2.48359
41200 2.5789
41300 2.61607
41400 3.05636
41500 2.68609
41600 2.51087
41700 2.84168
41800 3.05925
41900 2.20374
42000 3.15628
42100 1.86897
42200 2.56041
42300 2.94043
42400 2.35225
42500 2.75116
42600 1.9949
42700 3.17853
42800 1.7877
42900 2.07176
43000 2.27748
43100 2.08599
43200 1.85651
43300 2.7825
43400 1.62975
43500 2.17545
43600 2.15233
43700 1.96466
43800 2.59284
43900 2.73004
44000 2.47198
44100 1.97888
44200 1.76733
44300 3.45324
44400 2.35974
44500 1.92731
44600 2.12046
44700 3.14858
44800 2.93907
44900 2.55643
45000 2.14023
45100 3.22381
45200 1.95956
45300 3.35934
45400 2.29661
45500 2.38383
45600 2.25644
45700 3.19168
45800 1.46006
45900 2.56171
46000 1.85435
46100 2.51498
46200 2.25575
46300 1.91953
46400 2.5335
46500 2.91029
46600 1.85646
46700 2.12777
46800 2.33919
46900 2.18931
47000 1.63178
47100 2.46949
47200 2.80849
47300 1.65597
47400 2.05765
47500 2.01756
47600 2.62759
47700 3.5892
47800 1.5397
47900 2.70865
48000 2.51856
48100 2.53647
48200 1.69767
48300 2.14338
48400 1.88026
48500 1.84702
48600 2.86852
48700 1.75223
48800 2.87457
48900 1.76398
49000 2.29195
49100 1.66106
49200 2.68886
49300 2.35144
49400 3.29825
49500 1.68659
49600 1.72017
49700 2.62255
49800 2.15365
49900 2.68201
50000 1.53158
50100 1.84652
50200 2.22014
50300 0.316524
50400 3.75773
50500 1.71431
50600 2.57867
50700 1.83932
50800 2.50744
50900 2.77583
51000 2.11037
51100 2.48012
51200 0.978388
51300 3.0118
51400 3.56511
51500 2.32243
51600 2.23369
51700 2.42952
51800 2.51386
51900 1.79681
52000 1.66948
52100 3.36361
52200 1.73206
52300 2.37783
52400 1.78345
52500 1.69444
52600 2.16443
52700 2.87236
52800 1.9741
52900 2.19201
53000 2.10593
53100 2.4876
53200 2.2432
53300 2.91035
53400 1.81415
53500 1.98454
53600 2.0345
53700 2.65932
53800 2.5194
53900 1.85251
54000 2.64414
54100 2.44726
54200 2.54957
54300 2.43929
54400 1.20865
54500 3.12919
54600 2.13095
54700 1.5387
54800 2.47042
54900 2.33932
55000 2.47638
55100 3.70398
55200 0.410612
55300 2.57804
55400 2.21196
55500 2.29653
55600 2.78154
55700 2.10151
55800 1.91679
55900 2.38657
56000 2.45299
56100 3.37862
56200 2.76509
56300 1.75584
56400 2.00076
56500 1.17752
56600 1.97304
56700 2.17847
56800 1.59169
56900 1.72062
57000 1.60654
57100 2.02123
57200 1.87498
57300 2.59741
57400 2.63798
57500 2.40034
57600 0.112349
57700 2.60561
57800 2.7926
57900 1.81374
58000 1.27046
58100 1.47298
58200 2.34658
58300 1.38985
58400 1.91887
58500 2.26117
58600 1.2845
58700 0.926466
58800 2.90553
58900 2.0216
59000 1.417
59100 1.41191
59200 2.69742
59300 1.08544
59400 1.66087
59500 2.29799
59600 1.17314
59700 1.77105
59800 1.34136
59900 1.04075
60000 2.93086
60100 0.822164
60200 2.04147
60300 1.78572
60400 1.50163
60500 2.00927
60600 1.47921
60700 1.15248
60800 2.15437
60900 1.52585
61000 1.69418
61100 1.09682
61200 2.25186
61300 0.168378
61400 2.02343
61500 1.12079
61600 2.17798
61700 0.775552
61800 1.35047
61900 2.1621
62000 1.17548
62100 1.91998
62200 1.66862
62300 1.27761
62400 1.28171
62500 1.52474
62600 2.05556
62700 0.731081
62800 0.140442
62900 1.94457
63000 1.56062
63100 0.624592
63200 1.78962
63300 0.500632
63400 1.60341
63500 0.650818
63600 2.13789
63700 1.82235
63800 1.45602
63900 1.8409
64000 1.13874
64100 1.59788
64200 1.25595
64300 1.56348
64400 1.58387
64500 0.941533
64600 0.37598
64700 0.496348
64800 2.03551
64900 0.577122
65000 0.968703
65100 1.36632
65200 1.45225
65300 1.67869
65400 1.30482
65500 0.664902
65600 0.718236
65700 1.11997
65800 0.36776
65900 1.62721
66000 0.280206
66100 0.411661
66200 0.912907
66300 0.433173
66400 1.40314
66500 0.294878
66600 1.06028
66700 0.868588
66800 0.595312
66900 2.21587
67000 1.62415
67100 1.5936
67200 1.17296
67300 0.428267
67400 1.21077
67500 1.20235
67600 -0.317496
67700 -0.107952
67800 0.588243
67900 0.0403691
68000 0.234277
68100 1.46839
68200 0.946555
68300 0.275201
68400 0.731547
68500 0.265714
68600 0.652983
68700 0.725542
68800 1.0495
68900 0.877516
69000 1.29027
69100 1.92779
69200 1.11211
69300 2.31668
69400 1.92888
69500 2.2875
69600 1.35712
69700 1.1668
69800 2.06225
69900 -0.227402
70000 2.2875
70100 0.992425
70200 1.52474
70300 0.497734
70400 1.69879
70500 0.791877
70600 1.17606
70700 0.912181
70800 1.52046
70900 1.1389
71000 1.23323
71100 0.348962
71200 0.763121
71300 1.13277
71400 0.825761
71500 1.19689
71600 0.52614
71700 1.08356
71800 1.16113
71900 0.88436
72000 0.200186
72100 1.91634
72200 0.395022
72300 0.792609
72400 0.256421
72500 -0.0628447
72600 -0.190886
72700 1.53322
72800 -0.777965
72900 1.58089
73000 0.130795
73100 1.59392
73200 0.628611
73300 1.19584
73400 0.503993
73500 0.755588
73600 0.753551
73700 1.00805
73800 -0.284615
73900 2.55836
74000 0.807906
74100 0.77277
74200 1.42127
74300 -0.544967
74400 1.73609
74500 1.56365
74600 0.114734
74700 0.0795828
74800 0.540062
74900 0.546033
75000 1.10939
75100 1.73226
75200 0.202278
75300 -0.0351798
75400 0.791107
75500 0.457859
75600 0.302535
75700 0.818894
75800 1.32927
75900 1.02044
76000 -0.232902
76100 1.52491
76200 -0.104463
76300 2.1996
76400 0.798015
76500 0.880143
76600 0.881092
76700 1.12274
76800 1.15626
76900 1.37038
77000 0.538433
77100 1.36097
77200 0.0692935
77300 1.40949
77400 1.73747
77500 0.803131
77600 0.385998
77700 1.98148
77800 0.701038
77900 -0.0383617
78000 0.804118
78100 0.625143
78200 -0.509025
78300 1.72797
78400 2.02988
78500 0.8992
78600 0.541595
78700 1.00433
78800 0.434364
78900 0.778305
79000 0.840403
79100 1.44745
79200 0.225753
79300 1.53662
79400 -0.523475
79500 0.621609
79600 0.980881
79700 -0.00567191
79800 0.897032
79900 0.456819
80000 0.619567
80100 2.16289
80200 0.949221
80300 0.358049
80400 1.09727
80500 0.0181049
80600 1.11184
80700 0.551787
80800 0.545566
80900 0.802168
81000 1.43782
81100 0.226247
81200 0.329422
81300 0.0700743
81400 0.396752
81500 1.96395
81600 0.0181745
81700 1.58111
81800 -0.50949
81900 1.24437
82000 0.70855
82100 1.07642
82200 -0.126921
82300 1.38053
82400 1.07727
82500 0.567617
82600 0.814211
82700 1.09259
82800 0.673926
82900 0.316101
83000 1.25729
83100 -0.0106829
83200 0.798566
83300 0.840849
83400 1.01494
83500 0.838912
83600 1.28749
83700 0.984621
83800 0.348444
83900 1.36898
84000 1.28619
84100 1.01452
84200 0.0884021
84300 1.66439
84400 0.261217
84500 0.327862
84600 0.5388
84700 2.40708
84800 0.339489
84900 0.339976
85000 0.449702
85100 1.49929
85200 0.489864
85300 1.20645
85400 0.0837151
85500 1.19897
85600 0.56854
85700 2.23029
85800 1.02491
85900 0.85626
86000 0.0438268
86100 1.18974
86200 1.35309
86300 1.39926
86400 0.911815
86500 0.267407
86600 0.685463
86700 1.98269
86800 1.25255
86900 0.906675
87000 0.268482
87100 0.979986
87200 0.824946
87300 -0.224964
87400 1.15215
87500 1.44204
87600 0.725061
87700 0.433999
87800 0.801359
87900 1.30927
88000 1.43237
88100 0.409741
88200 0.094739
88300 1.34424
88400 0.970979
88500 0.712908
88600 0.182875
88700 0.718144
88800 1.07624
88900 1.15258
89000 0.366283
89100 -0.163155
89200 0.699183
89300 1.01512
89400 0.983234
89500 1.88168
89600 1.08916
89700 0.578877
89800 0.284202
89900 0.93784
90000 -0.254152
90100 1.74155
90200 1.88837
90300 0.695966
90400 1.743
90500 0.414062
90600 1.18565
90700 1.77358
90800 0.332657
90900 0.164683
91000 1.67788
91100 1.16579
91200 0.478779
91300 1.39968
91400 0.110122
91500 0.789443
91600 0.663024
91700 1.10386
91800 0.565105
91900 2.46367
92000 0.621812
92100 1.1939
92200 0.722857
92300 1.28351
92400 0.811107
92500 1.02927
92600 0.934209
92700 0.152694
92800 1.17511
92900 1.71752
93000 1.04726
93100 0.607058
93200 0.825974
93300 0.612816
93400 1.55029
93500 1.26359
93600 0.93789
93700 0.445798
93800 1.22952
93900 1.70289
94000 0.541333
94100 0.833023
94200 0.96073
94300 0.439829
94400 1.37473
94500 1.06122
94600 1.57224
94700 -0.22172
94800 1.68029
94900 0.833755
95000 0.173636
95100 0.64638
95200 0.968548
95300 0.502165
